name,from,address,square_metre,price,type,rooms_amount,link
"Vestkanttorget - Flott 2-roms leilighet, godt egnet for par.",Privat,"Eckersbergsgate 30, Oslo",46,17500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310456529
"To roms, Strømsveien 240 E ved Alna senteret",Privat,"Strømsveien 240 E, Oslo",50,16000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310469557
Rødtvet - Flott og romslig 3- roms med eget bad og kjøkken.,Privat,"OLE WINGERS VEI 18 B, Oslo",65,18000,Enebolig,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=310463579
Rom i bofelleskapet,Privat,"Odvar Solbergs Vei 102,, Oslo",1,7000,Rom i bofellesskap,5,https://www.finn.no/realestate/lettings/ad.html?finnkode=310467803
"Nice room in ""bofellesskap"" behind Royal Castle in Frogner - short term ((ISV)",Privat,"Colbjørnsens gate 6, Oslo",20,9500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=283132421
Fin moderne møblert leilighet med balkong på Tjuvholmen leies ut,Privat,"Sjøgangen 2, Oslo",56,27000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=308122462
"Kjempefin 2-roms hjørneleilighet i nyoppusset gård - med stor vestvendt terrasse, heis og parkering i garasje.",Privat,"EUGENIES GATE 17, Oslo",46,20000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=192308953
ADAMSTUEN/BISLET: Lys og romslig 1-roms! INKL v.vann - ca 40m2 - Ledig ca 1. august.,Utleiemegleren Majorstuen,"Brageveien 1 B, Oslo",0,13500,Leilighet,0,https://www.finn.no/realestate/lettings/ad.html?finnkode=310467794
Hjørne-leilighet sentralt på Grønland,Jens Evensen Eiendom,"GRØNLANDSLEIRET 23, Oslo",70,20000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310461456
Meget pen 2-roms med balkong | God planløsning | Moderne standard | Med eller uten møblement,Privat,"URTEGATA 14, Oslo",39,17900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=232993980
?? 1/3 rom ledig NÅ i jentekollektiv på Alexander Kiellands,Privat,Oslo,6,7500,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=310456979
Sigurdsgate 8 -  Rom i bofellesskap,Privat,"Sigurdsgate 8, Oslo",12,7900,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=306326844
